scenario,scenario_name,N,p_value_mean,p_value_median,p_value_std,p_value_q25,p_value_q75,chi2_mean,capture_rate_chi2,bf_mean,bf_median,log_bf_mean,capture_rate_bayes
equal,等間隔遷移,100,0.20009497151895245,0.06673455869545197,0.2433152173506185,0.0006836093349656601,0.36155637732959145,14.8475273684397,53.400000000000006,52.758009822877554,42.130456404691685,1.372044310566664,96.0
equal,等間隔遷移,500,0.0472116063280169,3.4168013846698245e-05,0.1198044442922409,8.0767239667796e-13,0.03432671014335481,57.48547656549067,22.0,60.096923252159016,48.27434355108154,1.276244303578659,92.80000000000001
equal,等間隔遷移,1000,0.0071421405437517614,5.1405628015373006e-11,0.03836342618224139,3.1267687506850916e-34,0.0002605248552462548,154.76700709246967,3.0,50.431970242661535,35.365749134028135,0.9466386212985676,87.8
equal,等間隔遷移,2000,0.00886648698863062,4.1780257296922795e-18,0.0785726850546415,1.1557769532668508e-56,6.397449693537938e-07,269.1719769582492,2.0,51.556195252160556,38.31919544927941,0.9226212812260912,89.4
equal,等間隔遷移,5000,0.0036712072084353516,9.419968729530057e-53,0.045239413233897505,1.1926545314564315e-133,8.093456086699367e-17,669.1599925734916,1.0,48.00863155734398,37.429587408755566,0.7971925649754524,87.8
equal,等間隔遷移,10000,0.0004260279417891548,3.341079949691889e-107,0.00886377132364229,1.190376522621986e-302,3.278932866068671e-37,1463.8143203722059,0.2,44.83288103870384,29.41348258284617,0.6842649705495901,87.2
equal,等間隔遷移,20000,0.0006296265487803022,7.52614796947054e-173,0.011304191598770205,0.0,2.0361924588404888e-64,2836.116748982773,0.4,48.120687077853695,36.03186347053676,0.6505428402956411,87.6
accel,加速劣化,100,0.1977917110863474,0.07556278878354153,0.24025429502617593,0.0002853358591785068,0.3541453410992611,15.186980513653296,53.6,49.00586264575667,44.14918680038642,1.310093529660661,96.39999999999999
accel,加速劣化,500,0.03873239257421774,1.9657984070963235e-06,0.11842034532797842,3.786442261342838e-17,0.018424542582034208,74.27429739482731,16.0,50.8296360599381,32.70405221347177,1.063984863894866,88.6
accel,加速劣化,1000,0.021277725285876316,2.4347057425219565e-10,0.10565486920614266,3.6501142717526334e-30,0.0007426480003542845,142.96383923557715,5.2,51.59620032444525,40.766749275703646,0.8935798316239218,88.2
accel,加速劣化,2000,0.011568596987409124,1.0949794732439187e-21,0.08295949962037802,1.8009233004351853e-56,2.712888709982553e-07,244.8775485030729,2.6,45.45221245986898,32.091904140694595,0.7472232508965012,86.4
accel,加速劣化,5000,0.0007262964188069103,6.488560975396067e-46,0.009556105218904118,2.2733504698569322e-129,1.071670818461564e-16,572.5602651513635,0.6,41.54950015929081,31.97142836256178,0.6192251447704575,86.8
accel,加速劣化,10000,0.0010578334801866793,2.3372267004660886e-92,0.020157183615906682,0.0,2.725929087704168e-32,1340.2784065347057,0.4,39.767384618332436,28.331264697314204,0.6556154307149031,87.4
accel,加速劣化,20000,0.0010303631841904028,1.9906172315015205e-167,0.017328479461978512,0.0,6.827144220512405e-65,2440.458094447093,0.4,43.285595433661136,31.631232159166487,0.7534531586727983,89.4
